City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Sao Filipe,CV,14.8961,-24.4956,79.07,83,48,7.63,scattered clouds
80,Victoria,HK,22.2855,114.1577,84.33,88,100,7.02,overcast clouds
81,Belyy Yar,RU,53.6039,91.3903,58.89,94,52,4.47,smoke
82,Rawson,AR,-43.3002,-65.1023,56.66,30,0,10.13,clear sky
83,Dingle,PH,10.9995,122.6711,74.44,91,100,4.29,moderate rain
84,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,90,20,10.36,few clouds
85,Iqaluit,CA,63.7506,-68.5145,49.73,76,90,21.85,light rain
86,Carmo,BR,-21.9336,-42.6086,74.46,45,88,2.93,overcast clouds
87,Robertsport,LR,6.7533,-11.3686,78.8,74,73,13.44,light rain
88,Luanda,AO,-8.8368,13.2343,71.6,94,20,6.91,few clouds
89,Tasiilaq,GL,65.6145,-37.6368,44.76,95,100,4.94,overcast clouds
90,Mecca,SA,21.4267,39.8261,92.35,30,6,6.78,clear sky
91,Porto Novo,BJ,6.4965,2.6036,76.82,85,100,8.23,overcast clouds
92,Saldanha,ZA,-33.0117,17.9442,48.25,65,0,16.31,clear sky
93,Cidreira,BR,-30.1811,-50.2056,65.66,77,100,6.29,overcast clouds
94,Inta,RU,66.0317,60.1659,49.19,88,16,7.18,few clouds
95,Harwich,GB,51.9419,1.2844,63.0,91,100,4.0,overcast clouds
96,Milin,CZ,49.6319,14.046,68.41,90,100,1.66,overcast clouds
97,Barhi,IN,23.9,80.8,77.02,92,100,9.91,overcast clouds
98,Hualmay,PE,-11.0964,-77.6139,67.12,71,18,12.71,few clouds
99,Sakakah,SA,29.9697,40.2064,94.57,17,0,8.95,clear sky
100,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,64,20,20.71,few clouds
101,General Roca,AR,-39.0333,-67.5833,57.6,23,0,9.6,clear sky
102,Chuy,UY,-33.6971,-53.4616,54.25,96,100,11.97,overcast clouds
103,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,92.77,23,15,5.12,few clouds
104,Verkhnyaya Inta,RU,65.9811,60.3094,48.67,89,16,5.28,few clouds
105,Ilava,SK,48.9977,18.2353,69.22,75,30,2.55,scattered clouds
